Date,Open,High,Low,Close,Adj Close,Volume,Stock,Country
2018-12-31,13250.0,13250.0,13048.0,13200.0,9955.2578125,298333.0,VOD.JO,AFE
2019-12-31,11832.0,11770.0,11456.0,11530.0,9020.712890625,348819.0,VOD.JO,AFE
2020-12-31,12350.0,12493.0,12260.0,12439.0,10394.9912109375,608532.0,VOD.JO,AFE
2011-12-31,11076.0,11076.0,10690.0,10690.0,3231.5966796875,1012.0,DSBP.JO,AFE
2012-12-31,11050.0,11050.0,11050.0,11050.0,3555.3466796875,0.0,DSBP.JO,AFE
2013-12-31,11000.0,11000.0,11000.0,11000.0,3822.587158203125,0.0,DSBP.JO,AFE
2014-12-31,10500.0,10500.0,10500.0,10500.0,3945.477783203125,585.0,DSBP.JO,AFE
2015-12-31,10000.0,10000.0,10000.0,10000.0,4106.55224609375,0.0,DSBP.JO,AFE
2016-12-31,9700.0,9700.0,9650.0,9650.0,4380.73828125,27189.0,DSBP.JO,AFE
2017-12-31,9100.0,9100.0,9100.0,9100.0,4603.65234375,50.0,DSBP.JO,AFE
2018-12-31,8700.0,8800.0,8700.0,8800.0,5034.81787109375,10306.0,DSBP.JO,AFE
2019-12-31,9501.0,9501.0,9501.0,9501.0,6056.59765625,6.0,DSBP.JO,AFE
2020-12-31,8100.0,8100.0,8100.0,8100.0,5797.041015625,0.0,DSBP.JO,AFE
2010-12-31,1949.0,1954.0,1942.0,1951.0,1044.7613525390625,2817732.0,FSR.JO,AFE
2011-12-31,2089.0,2100.0,2074.0,2074.0,1170.8525390625,2272428.0,FSR.JO,AFE
2012-12-31,3080.0,3109.0,3061.0,3100.0,1820.130859375,1101871.0,FSR.JO,AFE
2013-12-31,3510.0,3589.0,3510.0,3589.0,2196.538818359375,2217927.0,FSR.JO,AFE
2014-12-31,5017.0,5059.0,5002.0,5057.0,3238.760009765625,1048081.0,FSR.JO,AFE
2015-12-31,4299.0,4299.0,4205.0,4237.0,2827.136474609375,1711185.0,FSR.JO,AFE
2016-12-31,5394.0,5394.0,5272.0,5317.0,3725.55517578125,4046150.0,FSR.JO,AFE
2017-12-31,6622.0,6725.0,6580.0,6700.0,4937.0517578125,4911166.0,FSR.JO,AFE
2018-12-31,6590.0,6590.0,6501.0,6556.0,5035.279296875,1631978.0,FSR.JO,AFE
2019-12-31,6424.0,6424.0,6260.0,6280.0,5048.94921875,1526590.0,FSR.JO,AFE
2020-12-31,5111.0,5196.0,5102.0,5104.0,4257.84619140625,4413511.0,FSR.JO,AFE
2010-12-31,10560.0703125,10603.9970703125,10454.6455078125,10595.2119140625,8022.240234375,357617.0,GFI.JO,AFE
